polity_id,year_from,year_to,longitude,latitude,elevation,sub_category,magnitude,duration
CnQingE,1663,1663,121.49450800000001,31.339228000000002,6.1,Pestilence,Uncertain,No description
CnQingE,1663,1663,108.660878,22.042189999999998,24.7,Pestilence,Uncertain,No description
CnQingE,1665,1665,117.11300800000001,26.862021999999996,310.5,Uncertain Pestilence,Uncertain,No description
CnQingE,1665,1665,121.24963600000001,37.467374,7.8,Pestilence,Heavy,No description
CnQingE,1665,1665,117.11300800000001,26.862021999999996,310.5,Pestilence,Heavy,No description
CnQingE,1665,1665,112.03436699999999,32.681389,113.4,Pestilence,No description,No description
CnQingE,1666,1666,116.185721,24.362739,371.2,Pestilence,No description,No description
CnQingE,1667,1667,120.745383,29.582772,157.9,Pestilence,Heavy,No description
CnQingE,1667,1667,108.102801,35.566968,1149.6,Pestilence,Uncertain,No description
CnQingE,1668,1669,114.78921799999999,38.896392,253.2,Pestilence,Heavy,No description
CnQingE,1668,1668,114.346579,37.311467,186.9,Pestilence,Heavy,No description
CnQingE,1669,1670,114.994134,27.849249,65.0,Dysentery,Uncertain,No description
CnQingE,1669,1669,111.80981100000001,35.216396,570.6,Pestilence,Heavy,No description
CnQingE,1669,1670,115.231629,27.182999,49.2,Pestilence,Heavy,No description
CnQingE,1669,1669,112.42083500000001,26.36119,103.2,Pestilence,Heavy,No description
CnQingE,1669,1669,114.994134,27.849249,65.0,Pestilence,Uncertain,No description
CnQingE,1670,1670,112.75974,32.089828000000004,139.7,Pestilence,Heavy,No description
CnQingE,1670,1670,113.940302,35.026845,77.4,Pestilence,No description,No description
CnQingE,1671,1671,114.846933,28.197387,75.9,Dysentery,Uncertain,No description
CnQingE,1671,1671,119.188204,32.388233,16.0,Pestilence,Heavy,No description
CnQingE,1671,1671,119.442397,33.221142,0.5,Pestilence,Heavy,No description
CnQingE,1671,1671,120.119623,30.234656,24.1,Pestilence,Heavy,No description
CnQingE,1671,1671,113.800877,31.677651,120.1,Pestilence,Heavy,No description
CnQingE,1671,1671,112.75974,32.089828000000004,139.7,Pestilence,Heavy,No description
CnQingE,1671,1671,114.846933,28.197387,75.9,Pestilence,Uncertain,No description
CnQingE,1671,1671,120.553937,32.784224,2.0,Pestilence,Uncertain,No description
CnQingE,1671,1671,119.707641,28.766647999999996,727.9,Pestilence,Uncertain,No description
CnQingE,1671,1671,115.231629,27.182999,49.2,Pestilence,Uncertain,No description
CnQingE,1671,1671,115.231629,27.182999,49.2,Pestilence,Uncertain,No description
CnQingE,1672,1672,115.61966699999999,29.400579999999998,137.2,Dysentery,Uncertain,No description
CnQingE,1672,1672,116.908823,28.320905,29.9,Pestilence,Heavy,No description
CnQingE,1672,1672,117.001896,28.701713,174.5,Pestilence,Heavy,No description
CnQingE,1672,1672,119.83407700000001,28.440495000000002,58.0,Pestilence,Uncertain,No description
CnQingE,1672,1672,117.024295,27.743496,259.7,Pestilence,Uncertain,No description
CnQingE,1673,1673,118.024299,36.986652,12.7,Miasm,Uncertain,No description
CnQingE,1673,1673,114.395196,33.300271,48.1,Pestilence,Heavy,No description
CnQingE,1674,1674,109.061702,33.377455,930.8,Pestilence,Uncertain,No description
CnQingE,1674,1674,118.921746,33.658644,11.3,Pestilence,Uncertain,No description
CnQingE,1675,1677,118.884879,29.608818,195.8,Pestilence,Heavy,No description
CnQingE,1675,1675,119.83407700000001,28.440495000000002,58.0,Pestilence,Heavy,No description
CnQingE,1675,1675,119.367906,29.483860999999997,144.4,Pestilence,Uncertain,No description
CnQingE,1675,1675,119.367906,29.483860999999997,144.4,Pestilence,Uncertain,No description
CnQingE,1676,1676,114.697842,25.827402,141.5,Pestilence,Heavy,No description
CnQingE,1676,1676,103.026385,29.925596999999996,654.9,Pestilence,Heavy,No description
CnQingE,1676,1676,106.897672,27.702516999999997,860.1,Pestilence,Heavy,No description
CnQingE,1676,1676,109.15396000000001,27.671839000000002,294.6,Pestilence,Heavy,No description
CnQingE,1677,1677,109.966908,33.423271,1096.1,Pestilence,Heavy,No description
CnQingE,1677,1677,121.08311699999999,31.126945000000003,4.8,Pestilence,Heavy,No description
CnQingE,1677,1677,118.884879,29.608818,195.8,Pestilence,Heavy,No description
CnQingE,1677,1677,119.186976,28.988432,59.4,Pestilence,Heavy,No description
CnQingE,1677,1677,117.468772,27.232468,514.5,Pestilence,Heavy,No description
CnQingE,1677,1677,121.736145,31.023521999999996,4.6,Pestilence,Uncertain,No description
CnQingE,1677,1677,121.63616100000002,31.230935,5.0,Pestilence,Uncertain,No description
CnQingE,1677,1677,121.54983700000001,30.915938,4.1,Pestilence,Uncertain,No description
CnQingE,1677,1677,120.896588,30.899904,4.8,Pestilence,Uncertain,No description
CnQingE,1677,1677,117.342699,27.652942,307.3,Pestilence,Uncertain,No description
CnQingE,1677,1677,112.404643,32.551413000000004,90.1,Pestilence,Uncertain,No description
CnQingE,1678,1678,121.54983700000001,30.915938,4.1,Pestilence,Heavy,No description
CnQingE,1678,1678,118.824123,32.118003,27.0,Pestilence,Heavy,No description
CnQingE,1678,1678,118.824123,32.118003,27.0,Pestilence,Heavy,No description
CnQingE,1678,1678,120.896588,30.899904,4.8,Pestilence,Heavy,No description
CnQingE,1678,1678,114.299273,32.923312,53.6,Pestilence,Heavy,No description
CnQingE,1678,1678,114.395196,33.300271,48.1,Pestilence,Heavy,No description
CnQingE,1678,1678,112.03436699999999,32.681389,113.4,Pestilence,Heavy,No description
CnQingE,1678,1678,109.980728,22.684493,139.9,Pestilence,Heavy,No description
CnQingE,1678,1679,113.65598100000001,34.782404,100.7,Pestilence,Heavy,No description
CnQingE,1678,1679,113.65598100000001,34.782404,100.7,Pestilence,Heavy,No description
CnQingE,1678,1678,112.49636699999999,37.8367,806.1,Pestilence,No description,No description
CnQingE,1678,1678,104.455694,31.235358,623.2,Pestilence,No description,No description
CnQingE,1678,1678,112.49636699999999,37.8367,806.1,Pestilence,Uncertain,No description
CnQingE,1678,1678,112.49636699999999,37.8367,806.1,Pestilence,Uncertain,No description
CnQingE,1678,1678,118.05561000000002,36.643938,185.0,Pestilence,Uncertain,No description
CnQingE,1678,1678,120.74689,30.74445,7.0,Pestilence,Uncertain,No description
CnQingE,1678,1678,113.911405,33.369256,66.8,Pestilence,Uncertain,No description
CnQingE,1678,1678,111.83460500000001,33.223129,214.1,Pestilence,Uncertain,No description
CnQingE,1678,1678,112.25062199999999,30.886678999999997,92.1,Pestilence,Uncertain,No description
CnQingE,1679,1679,118.67533600000002,40.031695,54.3,Pestilence,Heavy,No description
CnQingE,1679,1679,118.975431,39.911349,100.0,Pestilence,Heavy,No description
CnQingE,1679,1679,113.882888,27.626653000000005,109.9,Pestilence,Heavy,No description
CnQingE,1679,1679,114.877995,33.272712,38.0,Pestilence,Heavy,No description
CnQingE,1679,1679,103.772726,24.512778,1704.0,Pestilence,Heavy,No description
CnQingE,1679,1679,109.980728,22.684493,139.9,Pestilence,No description,No description
CnQingE,1679,1679,115.573802,37.948909,24.5,Pestilence,Uncertain,No description
CnQingE,1679,1679,121.212828,31.011963,6.6,Pestilence,Uncertain,No description
CnQingE,1679,1680,119.96215500000001,31.776182000000002,7.4,Pestilence,Uncertain,No description
CnQingE,1679,1679,111.83460500000001,33.223129,214.1,Pestilence,Uncertain,No description
CnQingE,1679,1679,111.83460500000001,33.223129,214.1,Pestilence,Uncertain,No description
CnQingE,1680,1680,116.72401,39.799723,20.5,Pestilence,Heavy,No description
CnQingE,1680,1680,114.15319299999999,40.395202000000005,1340.2,Pestilence,Heavy,No description
CnQingE,1680,1680,113.036799,39.080475,871.7,Pestilence,Heavy,No description
CnQingE,1680,1680,121.08311699999999,31.126945000000003,4.8,Pestilence,Heavy,No description
CnQingE,1680,1680,121.25135300000001,31.353075,5.7,Pestilence,Heavy,No description
CnQingE,1680,1680,121.496292,31.406519,7.0,Pestilence,Heavy,No description
CnQingE,1680,1680,121.514319,31.653919000000002,3.3,Pestilence,Heavy,No description
CnQingE,1680,1680,120.397516,31.224484999999998,22.3,Pestilence,Heavy,No description
CnQingE,1680,1681,120.33599199999999,31.567521999999997,7.1,Pestilence,Heavy,No description
CnQingE,1680,1680,118.96127299999999,32.716928,8.1,Pestilence,Heavy,No description
CnQingE,1680,1680,113.42671299999999,34.510027,234.2,Pestilence,Heavy,No description
CnQingE,1680,1680,109.79898,26.913636999999998,552.3,Pestilence,Heavy,No description
CnQingE,1680,1680,109.576175,26.545371999999997,380.8,Pestilence,Heavy,No description
CnQingE,1680,1680,110.699448,21.440841,1.4,Pestilence,Heavy,No description
CnQingE,1680,1680,110.40287,25.376120999999998,272.5,Pestilence,Heavy,No description
CnQingE,1680,1681,114.489139,40.55092,1010.4,Pestilence,Uncertain,No description
CnQingE,1680,1681,114.197763,39.375898,1548.9,Pestilence,Uncertain,No description
CnQingE,1680,1680,121.514319,31.653919000000002,3.3,Pestilence,Uncertain,No description
CnQingE,1680,1680,119.027201,31.595081,77.5,Pestilence,Uncertain,No description
CnQingE,1680,1680,114.299273,32.923312,53.6,Pestilence,Uncertain,No description
CnQingE,1680,1683,109.711927,19.801371,81.0,Pestilence,Uncertain,No description
CnQingE,1681,1681,112.665098,38.153773,1017.3,Pestilence,Heavy,No description
CnQingE,1681,1681,112.3723,37.583745,761.6,Pestilence,Heavy,No description
CnQingE,1681,1681,117.700673,28.107484999999997,165.4,Pestilence,Heavy,No description
CnQingE,1681,1681,112.442002,24.932152,382.5,Pestilence,Heavy,No description
